时间,连通分量,城市
20200106,1,['澄迈县']
20200106,2,['定安县']
20200106,3,['临高县']
20200106,4,['屯昌县']
20200106,5,['山南']
20200106,6,['日喀则']
20200106,7,['吐鲁番']
20200106,8,['哈密']
20200107,0,"['定西', '兰州', '白银', '临夏回族自治州', '天水', '武威', '陇南', '西安', '西宁', '平凉', '海东', '张掖', '庆阳', '南宁', '河池', '柳州', '百色', '宜春', '新余', '南昌', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '广州', '阳江', '茂名', '江门', '佛山', '鹰潭', '上饶', '东莞', '深圳', '清远', '惠州', '中山', '肇庆', '珠海', '湛江', '韶关', '汕头', '上海', '揭阳', '河源', '长沙', '云浮', '梅州', '汕尾', '衡阳', '武汉', '赣州', '成都', '郴州', '常德', '益阳', '张家界', '大理白族自治州', '昆明', '潜江', '荆州', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '娄底', '邵阳', '湘潭', '株洲', '晋中', '太原', '吕梁', '忻州', '临汾', '大同', '运城', '长治', '朔州', '阳泉', '黄石', '鄂州', '黄冈', '温州', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '长春', '丹东', '朝阳', '通辽', '葫芦岛', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '来宾', '桂林', '晋城', '宜宾', '毕节', '金华', '曲靖', '绥化', '乐山', '眉山', '贵阳', '安顺', '六盘水', '黔南布依族苗族自治州', '黔西南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '邯郸', '济南', '泰安', '济宁', '临沂', '青岛', '镇江', '南京', '滁州', '马鞍山', '苏州', '扬州', '常州', '淮安', '无锡', '徐州', '合肥', '盐城', '泰州', '宿迁', '南通', '芜湖', '杭州', '连云港', '宣城', '吉安', '九江', '泉州', '呼和浩特', '乌兰察布', '包头', '张家口', '锡林郭勒盟', '唐山', '秦皇岛', '天津', '石家庄', '岳阳', '永州', '怀化', '湘西土家族苗族自治州', '潍坊', '淄博', '烟台', '东营', '日照', '滨州', '抚州', '景德镇', '台州', '丽水', '宁德', '绍兴', '嘉兴', '德州', '聊城', '菏泽', '枣庄', '铜陵', '安庆', '玉溪', '红河哈尼族彝族自治州', '孝感', '咸宁', '襄阳', '宜昌', '荆门', '随州', '仙桃', '十堰', '信阳', '恩施土家族苗族自治州', '天门', '衢州', '赤峰', '重庆', '广安', '遵义', '达州', '泸州', '南充', '内江', '铜仁', '遂宁', '资阳', '福州', '绵阳', '池州', '阜阳', '亳州', '淮南', '周口', '六安', '保定', '邢台', '衡水', '沧州', '廊坊', '承德', '宝鸡', '咸阳', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '普洱', '西双版纳傣族自治州', '济源', '汉中', '巴彦淖尔', '鄂尔多斯', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '贵港', '商丘', '厦门', '龙岩', '漳州', '海南藏族自治州', '兴安盟', '文山壮族苗族自治州', '临沧', '洛阳', '德阳', '阿坝藏族羌族自治州', '自贡', '甘孜藏族自治州', '广元', '巴中', '蚌埠', '宿州', '淮北', '莆田', '南平', '三明', '吉林', '玉林', '通化', '辽源', '榆林', '延安', '渭南', '商洛', '安康', '铜川', '许昌', '平顶山', '漯河', '三门峡', '崇左', '思茅', '驻马店', '四平', '南阳', '黔东南苗族侗族自治州', '乌海', '威海', '延边朝鲜族自治州', '白山', '鸡西', '襄樊', '牡丹江', '潮州', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200107,1,['澄迈县']
20200107,2,['定安县']
20200107,3,['临高县']
20200107,4,['屯昌县']
20200107,5,['山南']
20200107,6,['日喀则']
20200107,7,['那曲']
20200107,8,['吐鲁番']
20200107,9,['哈密']
